year,rain_50m_pct,rain_nv_pct,totbal_50m_pct,totbal_nv_pct
2000,4.127259290739687,8.480283826810414,8.766520147778746,18.94714384966235
2001,4.614269555656641,7.414459011042812,7.148315065528515,14.252298319099168
2002,1.6556676413226472,7.198052291732824,2.887308312187936,11.987932677040328
2003,0.7220145063039521,0.0638350110483673,2.6562115544212075,5.352320157132337
2004,1.8441962240963874,3.013687162529823,5.2466501398375405,12.276589510694405
2005,2.4598192620619375,5.020313406848519,9.016672978206952,10.195395627781
2006,4.553273172108999,6.2723708880177265,11.801596793041963,18.251235725242886
2007,4.738917594410386,7.449936344247194,11.32776571285996,11.302995536998159
2008,4.83450239472306,2.112799022175659,8.29219270648201,11.300273558000113
2009,2.7282626195505633,0.015885802923138813,4.582793520722777,5.62548450259265
2010,1.6383171697982615,0.0,4.488299005321508,9.761793554413838
2011,1.7610590698460473,0.0,6.368403853575616,9.537402154081583
2012,2.4861302014754756,1.2776637006616474,7.907532590812904,12.212770118314266
2013,3.5580711460273946,2.5750942478414207,9.956752139752814,11.692812842028461
2014,4.524613173716145,0.8538438164691584,7.292836371777139,6.429656639319356
2015,4.9183112820175765,0.0,9.204277625800616,7.107987295612276
2016,5.339670484404995,0.0,9.739579460548518,11.59130652010994
2017,5.613689073156213,3.6641604010025057,8.315685242837946,14.541353383458647
2018,6.547734086613141,4.477351916376307,11.724583884868974,15.049776007964166
2019,7.929661275870275,7.50622312740439,13.993789848403326,15.489929848381992
2020,8.439703574914342,0.0,12.7117289206807,12.85902975217714
2021,10.288484495299269,2.1336192747882796,27.123898373562778,24.90808176379193
2022,11.484141386578694,7.495558639857265,39.50785974028255,48.089695994856044
2023,12.603641523525017,14.231147259005988,30.9208810242137,23.798456424903698
